
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 888, 'shrink': 42, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0785532, PRECISION: 0.0159355, PRECISION_RECALL_MIN_DEN: 0.0631234, RECALL: 0.0617597, MAP: 0.0256318, MRR: 0.0532133, NDCG: 0.0406551, F1: 0.0253340, HIT_RATE: 0.1593549, ARHR: 0.0579331, NOVELTY: 0.0050415, AVERAGE_POPULARITY: 0.0178598, DIVERSITY_MEAN_INTER_LIST: 0.9958329, DIVERSITY_HERFINDAHL: 0.9995644, COVERAGE_ITEM: 0.4945602, COVERAGE_ITEM_CORRECT: 0.0291742, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0888134, DIVERSITY_GINI: 0.2060915, SHANNON_ENTROPY: 12.5238754, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 607, 'shrink': 131, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0539848, PRECISION: 0.0106398, PRECISION_RECALL_MIN_DEN: 0.0385681, RECALL: 0.0373687, MAP: 0.0160078, MRR: 0.0365787, NDCG: 0.0255863, F1: 0.0165583, HIT_RATE: 0.1063979, ARHR: 0.0394019, NOVELTY: 0.0050599, AVERAGE_POPULARITY: 0.0172799, DIVERSITY_MEAN_INTER_LIST: 0.9932160, DIVERSITY_HERFINDAHL: 0.9993028, COVERAGE_ITEM: 0.3007661, COVERAGE_ITEM_CORRECT: 0.0185486, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0605512, DIVERSITY_GINI: 0.1066275, SHANNON_ENTROPY: 11.6522755, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 675, 'shrink': 250, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0920566, PRECISION: 0.0190589, PRECISION_RECALL_MIN_DEN: 0.0744544, RECALL: 0.0726371, MAP: 0.0304028, MRR: 0.0631717, NDCG: 0.0480136, F1: 0.0301939, HIT_RATE: 0.1905886, ARHR: 0.0697624, NOVELTY: 0.0050434, AVERAGE_POPULARITY: 0.0181578, DIVERSITY_MEAN_INTER_LIST: 0.9972516, DIVERSITY_HERFINDAHL: 0.9997063, COVERAGE_ITEM: 0.5844774, COVERAGE_ITEM_CORRECT: 0.0350722, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1031836, DIVERSITY_GINI: 0.2796881, SHANNON_ENTROPY: 13.0147799, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 490, 'shrink': 820, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0539948, PRECISION: 0.0108595, PRECISION_RECALL_MIN_DEN: 0.0390581, RECALL: 0.0377772, MAP: 0.0161208, MRR: 0.0366698, NDCG: 0.0257853, F1: 0.0168642, HIT_RATE: 0.1085949, ARHR: 0.0396089, NOVELTY: 0.0050537, AVERAGE_POPULARITY: 0.0173422, DIVERSITY_MEAN_INTER_LIST: 0.9934320, DIVERSITY_HERFINDAHL: 0.9993244, COVERAGE_ITEM: 0.3065871, COVERAGE_ITEM_CORRECT: 0.0187873, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0613565, DIVERSITY_GINI: 0.1104153, SHANNON_ENTROPY: 11.7040270, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 373, 'shrink': 528, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0875344, PRECISION: 0.0184257, PRECISION_RECALL_MIN_DEN: 0.0712882, RECALL: 0.0694821, MAP: 0.0285763, MRR: 0.0587272, NDCG: 0.0454566, F1: 0.0291209, HIT_RATE: 0.1842566, ARHR: 0.0651877, NOVELTY: 0.0050562, AVERAGE_POPULARITY: 0.0171560, DIVERSITY_MEAN_INTER_LIST: 0.9967118, DIVERSITY_HERFINDAHL: 0.9996523, COVERAGE_ITEM: 0.5071800, COVERAGE_ITEM_CORRECT: 0.0334937, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0990814, DIVERSITY_GINI: 0.2287128, SHANNON_ENTROPY: 12.7327806, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 837, 'shrink': 368, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0727201, PRECISION: 0.0149382, PRECISION_RECALL_MIN_DEN: 0.0568918, RECALL: 0.0553633, MAP: 0.0225142, MRR: 0.0486467, NDCG: 0.0363338, F1: 0.0235228, HIT_RATE: 0.1493822, ARHR: 0.0531022, NOVELTY: 0.0050605, AVERAGE_POPULARITY: 0.0170777, DIVERSITY_MEAN_INTER_LIST: 0.9950084, DIVERSITY_HERFINDAHL: 0.9994820, COVERAGE_ITEM: 0.3823600, COVERAGE_ITEM_CORRECT: 0.0267411, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0832012, DIVERSITY_GINI: 0.1529318, SHANNON_ENTROPY: 12.1567540, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 241, 'shrink': 580, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0838748, PRECISION: 0.0172464, PRECISION_RECALL_MIN_DEN: 0.0659086, RECALL: 0.0642211, MAP: 0.0270596, MRR: 0.0575469, NDCG: 0.0428046, F1: 0.0271899, HIT_RATE: 0.1724636, ARHR: 0.0632738, NOVELTY: 0.0050435, AVERAGE_POPULARITY: 0.0179685, DIVERSITY_MEAN_INTER_LIST: 0.9969873, DIVERSITY_HERFINDAHL: 0.9996798, COVERAGE_ITEM: 0.5379942, COVERAGE_ITEM_CORRECT: 0.0318306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0941487, DIVERSITY_GINI: 0.2445322, SHANNON_ENTROPY: 12.8292330, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 384, 'shrink': 194, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0879119, PRECISION: 0.0183954, PRECISION_RECALL_MIN_DEN: 0.0716780, RECALL: 0.0699142, MAP: 0.0286486, MRR: 0.0599886, NDCG: 0.0456927, F1: 0.0291253, HIT_RATE: 0.1839542, ARHR: 0.0661765, NOVELTY: 0.0050318, AVERAGE_POPULARITY: 0.0180648, DIVERSITY_MEAN_INTER_LIST: 0.9968735, DIVERSITY_HERFINDAHL: 0.9996685, COVERAGE_ITEM: 0.5524466, COVERAGE_ITEM_CORRECT: 0.0337324, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0998616, DIVERSITY_GINI: 0.2503348, SHANNON_ENTROPY: 12.8368346, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 824, 'shrink': 328, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0861520, PRECISION: 0.0180313, PRECISION_RECALL_MIN_DEN: 0.0708989, RECALL: 0.0692519, MAP: 0.0284038, MRR: 0.0587035, NDCG: 0.0452342, F1: 0.0286113, HIT_RATE: 0.1803135, ARHR: 0.0647627, NOVELTY: 0.0050345, AVERAGE_POPULARITY: 0.0181269, DIVERSITY_MEAN_INTER_LIST: 0.9966278, DIVERSITY_HERFINDAHL: 0.9996439, COVERAGE_ITEM: 0.5410741, COVERAGE_ITEM_CORRECT: 0.0330934, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0983012, DIVERSITY_GINI: 0.2393115, SHANNON_ENTROPY: 12.7572840, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 332, 'shrink': 960, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0824464, PRECISION: 0.0169891, PRECISION_RECALL_MIN_DEN: 0.0653451, RECALL: 0.0636985, MAP: 0.0264644, MRR: 0.0557993, NDCG: 0.0421071, F1: 0.0268232, HIT_RATE: 0.1698908, ARHR: 0.0612826, NOVELTY: 0.0050458, AVERAGE_POPULARITY: 0.0179294, DIVERSITY_MEAN_INTER_LIST: 0.9967833, DIVERSITY_HERFINDAHL: 0.9996594, COVERAGE_ITEM: 0.5257440, COVERAGE_ITEM_CORRECT: 0.0313070, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0930666, DIVERSITY_GINI: 0.2337891, SHANNON_ENTROPY: 12.7557544, 
