
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 490, 'shrink': 694, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.9573983466377018, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1378711, PRECISION: 0.0273107, PRECISION_RECALL_MIN_DEN: 0.1032988, RECALL: 0.1008886, MAP: 0.0467623, MRR: 0.0984941, NDCG: 0.0714458, F1: 0.0429823, HIT_RATE: 0.2731069, ARHR: 0.1097130, NOVELTY: 0.0052874, AVERAGE_POPULARITY: 0.1448510, DIVERSITY_MEAN_INTER_LIST: 0.9777924, DIVERSITY_HERFINDAHL: 0.9977607, COVERAGE_ITEM: 0.3958345, COVERAGE_ITEM_CORRECT: 0.0297286, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443815, DIVERSITY_GINI: 0.1166539, SHANNON_ENTROPY: 11.0532446, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 518, 'shrink': 792, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5120513548087765, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1369867, PRECISION: 0.0269928, PRECISION_RECALL_MIN_DEN: 0.1022206, RECALL: 0.0998581, MAP: 0.0464956, MRR: 0.0978709, NDCG: 0.0709301, F1: 0.0424946, HIT_RATE: 0.2699277, ARHR: 0.1088917, NOVELTY: 0.0052642, AVERAGE_POPULARITY: 0.1512631, DIVERSITY_MEAN_INTER_LIST: 0.9744146, DIVERSITY_HERFINDAHL: 0.9974230, COVERAGE_ITEM: 0.3814514, COVERAGE_ITEM_CORRECT: 0.0289278, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1428464, DIVERSITY_GINI: 0.1082185, SHANNON_ENTROPY: 10.8855802, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 849, 'shrink': 72, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.014993581210608013, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1520826, PRECISION: 0.0308743, PRECISION_RECALL_MIN_DEN: 0.1195209, RECALL: 0.1168876, MAP: 0.0533018, MRR: 0.1086433, NDCG: 0.0813110, F1: 0.0488439, HIT_RATE: 0.3087426, ARHR: 0.1218651, NOVELTY: 0.0052558, AVERAGE_POPULARITY: 0.1544269, DIVERSITY_MEAN_INTER_LIST: 0.9746316, DIVERSITY_HERFINDAHL: 0.9974447, COVERAGE_ITEM: 0.4050972, COVERAGE_ITEM_CORRECT: 0.0346949, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1615201, DIVERSITY_GINI: 0.1188195, SHANNON_ENTROPY: 10.9641975, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 905, 'shrink': 66, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5663899129771138, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1356987, PRECISION: 0.0267995, PRECISION_RECALL_MIN_DEN: 0.1020727, RECALL: 0.0997347, MAP: 0.0461211, MRR: 0.0967426, NDCG: 0.0704644, F1: 0.0422437, HIT_RATE: 0.2679951, ARHR: 0.1075830, NOVELTY: 0.0052507, AVERAGE_POPULARITY: 0.1549575, DIVERSITY_MEAN_INTER_LIST: 0.9721994, DIVERSITY_HERFINDAHL: 0.9972015, COVERAGE_ITEM: 0.3702868, COVERAGE_ITEM_CORRECT: 0.0282964, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1422424, DIVERSITY_GINI: 0.1017911, SHANNON_ENTROPY: 10.7600966, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 726, 'shrink': 573, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.9133090479971749, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1362581, PRECISION: 0.0269322, PRECISION_RECALL_MIN_DEN: 0.1023812, RECALL: 0.1000035, MAP: 0.0463420, MRR: 0.0972776, NDCG: 0.0707460, F1: 0.0424332, HIT_RATE: 0.2693218, ARHR: 0.1081612, NOVELTY: 0.0052558, AVERAGE_POPULARITY: 0.1534778, DIVERSITY_MEAN_INTER_LIST: 0.9731066, DIVERSITY_HERFINDAHL: 0.9972922, COVERAGE_ITEM: 0.3745987, COVERAGE_ITEM_CORRECT: 0.0286429, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1427205, DIVERSITY_GINI: 0.1041339, SHANNON_ENTROPY: 10.8086108, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 96, 'shrink': 780, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.47788711576025367, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1079418, PRECISION: 0.0226152, PRECISION_RECALL_MIN_DEN: 0.0833231, RECALL: 0.0811440, MAP: 0.0358513, MRR: 0.0757024, NDCG: 0.0558372, F1: 0.0353689, HIT_RATE: 0.2261516, ARHR: 0.0851482, NOVELTY: 0.0057682, AVERAGE_POPULARITY: 0.0560891, DIVERSITY_MEAN_INTER_LIST: 0.9984886, DIVERSITY_HERFINDAHL: 0.9998299, COVERAGE_ITEM: 0.7011819, COVERAGE_ITEM_CORRECT: 0.0418633, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1179565, DIVERSITY_GINI: 0.4057338, SHANNON_ENTROPY: 13.6234182, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 843, 'shrink': 292, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.46956205512905236, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1521010, PRECISION: 0.0308628, PRECISION_RECALL_MIN_DEN: 0.1194068, RECALL: 0.1167687, MAP: 0.0533132, MRR: 0.1086716, NDCG: 0.0812983, F1: 0.0488192, HIT_RATE: 0.3086276, ARHR: 0.1218958, NOVELTY: 0.0052560, AVERAGE_POPULARITY: 0.1543995, DIVERSITY_MEAN_INTER_LIST: 0.9746419, DIVERSITY_HERFINDAHL: 0.9974457, COVERAGE_ITEM: 0.4053744, COVERAGE_ITEM_CORRECT: 0.0347026, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1614697, DIVERSITY_GINI: 0.1189158, SHANNON_ENTROPY: 10.9652436, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 430, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.6090958750739985, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1522728, PRECISION: 0.0311509, PRECISION_RECALL_MIN_DEN: 0.1200716, RECALL: 0.1173967, MAP: 0.0534366, MRR: 0.1088255, NDCG: 0.0816062, F1: 0.0492341, HIT_RATE: 0.3115085, ARHR: 0.1222241, NOVELTY: 0.0052707, AVERAGE_POPULARITY: 0.1498824, DIVERSITY_MEAN_INTER_LIST: 0.9768265, DIVERSITY_HERFINDAHL: 0.9976641, COVERAGE_ITEM: 0.4143677, COVERAGE_ITEM_CORRECT: 0.0354803, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1625016, DIVERSITY_GINI: 0.1249082, SHANNON_ENTROPY: 11.0802570, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 127, 'shrink': 521, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5261858161623006, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1367149, PRECISION: 0.0275954, PRECISION_RECALL_MIN_DEN: 0.1031521, RECALL: 0.1006073, MAP: 0.0467972, MRR: 0.0984296, NDCG: 0.0714359, F1: 0.0433075, HIT_RATE: 0.2759544, ARHR: 0.1099128, NOVELTY: 0.0053018, AVERAGE_POPULARITY: 0.1408064, DIVERSITY_MEAN_INTER_LIST: 0.9799840, DIVERSITY_HERFINDAHL: 0.9979798, COVERAGE_ITEM: 0.4195111, COVERAGE_ITEM_CORRECT: 0.0305833, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1448345, DIVERSITY_GINI: 0.1299480, SHANNON_ENTROPY: 11.2239022, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 756, 'shrink': 586, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.21785485007689315, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1569141, PRECISION: 0.0327070, PRECISION_RECALL_MIN_DEN: 0.1234118, RECALL: 0.1206006, MAP: 0.0537019, MRR: 0.1114874, NDCG: 0.0831820, F1: 0.0514562, HIT_RATE: 0.3270705, ARHR: 0.1255981, NOVELTY: 0.0054836, AVERAGE_POPULARITY: 0.0971876, DIVERSITY_MEAN_INTER_LIST: 0.9944462, DIVERSITY_HERFINDAHL: 0.9994258, COVERAGE_ITEM: 0.5461174, COVERAGE_ITEM_CORRECT: 0.0457363, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1689191, DIVERSITY_GINI: 0.2256517, SHANNON_ENTROPY: 12.4795096, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 429, 'shrink': 210, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.21330194849533518, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1382422, PRECISION: 0.0276405, PRECISION_RECALL_MIN_DEN: 0.1041331, RECALL: 0.1016792, MAP: 0.0469444, MRR: 0.0990791, NDCG: 0.0718441, F1: 0.0434621, HIT_RATE: 0.2764051, ARHR: 0.1105499, NOVELTY: 0.0053141, AVERAGE_POPULARITY: 0.1368477, DIVERSITY_MEAN_INTER_LIST: 0.9814430, DIVERSITY_HERFINDAHL: 0.9981257, COVERAGE_ITEM: 0.4110260, COVERAGE_ITEM_CORRECT: 0.0309913, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1454889, DIVERSITY_GINI: 0.1261421, SHANNON_ENTROPY: 11.2362929, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 768, 'shrink': 936, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.8006884739251549, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1167527, PRECISION: 0.0247273, PRECISION_RECALL_MIN_DEN: 0.0900137, RECALL: 0.0876373, MAP: 0.0385857, MRR: 0.0815733, NDCG: 0.0603265, F1: 0.0385689, HIT_RATE: 0.2472732, ARHR: 0.0920150, NOVELTY: 0.0057232, AVERAGE_POPULARITY: 0.0592079, DIVERSITY_MEAN_INTER_LIST: 0.9983381, DIVERSITY_HERFINDAHL: 0.9998149, COVERAGE_ITEM: 0.6766737, COVERAGE_ITEM_CORRECT: 0.0448277, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1283503, DIVERSITY_GINI: 0.3755253, SHANNON_ENTROPY: 13.5050646, 
