
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 380, 'shrink': 925, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0719323, PRECISION: 0.0149755, PRECISION_RECALL_MIN_DEN: 0.0522490, RECALL: 0.0505465, MAP: 0.0216553, MRR: 0.0494197, NDCG: 0.0347669, F1: 0.0231039, HIT_RATE: 0.1497554, ARHR: 0.0550098, NOVELTY: 0.0050334, AVERAGE_POPULARITY: 0.0159822, DIVERSITY_MEAN_INTER_LIST: 0.9977766, DIVERSITY_HERFINDAHL: 0.9997587, COVERAGE_ITEM: 0.6251704, COVERAGE_ITEM_CORRECT: 0.0281886, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0799295, DIVERSITY_GINI: 0.3235772, SHANNON_ENTROPY: 13.2451198, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 888, 'shrink': 42, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0653465, PRECISION: 0.0131255, PRECISION_RECALL_MIN_DEN: 0.0478644, RECALL: 0.0466046, MAP: 0.0204717, MRR: 0.0456015, NDCG: 0.0323551, F1: 0.0204786, HIT_RATE: 0.1312545, ARHR: 0.0496426, NOVELTY: 0.0050353, AVERAGE_POPULARITY: 0.0148980, DIVERSITY_MEAN_INTER_LIST: 0.9969547, DIVERSITY_HERFINDAHL: 0.9996766, COVERAGE_ITEM: 0.5127777, COVERAGE_ITEM_CORRECT: 0.0242772, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0729583, DIVERSITY_GINI: 0.2398469, SHANNON_ENTROPY: 12.8115222, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 607, 'shrink': 131, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0638414, PRECISION: 0.0129132, PRECISION_RECALL_MIN_DEN: 0.0464810, RECALL: 0.0451778, MAP: 0.0197498, MRR: 0.0441830, NDCG: 0.0313560, F1: 0.0200814, HIT_RATE: 0.1291323, ARHR: 0.0481866, NOVELTY: 0.0050296, AVERAGE_POPULARITY: 0.0147252, DIVERSITY_MEAN_INTER_LIST: 0.9967102, DIVERSITY_HERFINDAHL: 0.9996521, COVERAGE_ITEM: 0.4963234, COVERAGE_ITEM_CORRECT: 0.0238691, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0714987, DIVERSITY_GINI: 0.2273055, SHANNON_ENTROPY: 12.7286229, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 675, 'shrink': 250, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0724794, PRECISION: 0.0151648, PRECISION_RECALL_MIN_DEN: 0.0534053, RECALL: 0.0517067, MAP: 0.0219499, MRR: 0.0501351, NDCG: 0.0353519, F1: 0.0234499, HIT_RATE: 0.1516482, ARHR: 0.0556096, NOVELTY: 0.0050349, AVERAGE_POPULARITY: 0.0166989, DIVERSITY_MEAN_INTER_LIST: 0.9977051, DIVERSITY_HERFINDAHL: 0.9997516, COVERAGE_ITEM: 0.6351646, COVERAGE_ITEM_CORRECT: 0.0284966, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0809362, DIVERSITY_GINI: 0.3257647, SHANNON_ENTROPY: 13.2404315, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 490, 'shrink': 820, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0639770, PRECISION: 0.0129020, PRECISION_RECALL_MIN_DEN: 0.0465363, RECALL: 0.0452347, MAP: 0.0197598, MRR: 0.0443042, NDCG: 0.0313868, F1: 0.0200721, HIT_RATE: 0.1290202, ARHR: 0.0483559, NOVELTY: 0.0050274, AVERAGE_POPULARITY: 0.0147049, DIVERSITY_MEAN_INTER_LIST: 0.9967824, DIVERSITY_HERFINDAHL: 0.9996593, COVERAGE_ITEM: 0.4985255, COVERAGE_ITEM_CORRECT: 0.0238306, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0714232, DIVERSITY_GINI: 0.2297173, SHANNON_ENTROPY: 12.7475959, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 373, 'shrink': 528, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0718713, PRECISION: 0.0149339, PRECISION_RECALL_MIN_DEN: 0.0521647, RECALL: 0.0504780, MAP: 0.0216302, MRR: 0.0493152, NDCG: 0.0347169, F1: 0.0230474, HIT_RATE: 0.1493393, ARHR: 0.0549081, NOVELTY: 0.0050338, AVERAGE_POPULARITY: 0.0159757, DIVERSITY_MEAN_INTER_LIST: 0.9977767, DIVERSITY_HERFINDAHL: 0.9997588, COVERAGE_ITEM: 0.6251319, COVERAGE_ITEM_CORRECT: 0.0280962, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0796779, DIVERSITY_GINI: 0.3235438, SHANNON_ENTROPY: 13.2450945, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 837, 'shrink': 368, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0792292, PRECISION: 0.0164846, PRECISION_RECALL_MIN_DEN: 0.0614426, RECALL: 0.0598459, MAP: 0.0252923, MRR: 0.0538501, NDCG: 0.0402288, F1: 0.0258434, HIT_RATE: 0.1648465, ARHR: 0.0593528, NOVELTY: 0.0050379, AVERAGE_POPULARITY: 0.0155915, DIVERSITY_MEAN_INTER_LIST: 0.9970312, DIVERSITY_HERFINDAHL: 0.9996842, COVERAGE_ITEM: 0.5440539, COVERAGE_ITEM_CORRECT: 0.0302368, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0894426, DIVERSITY_GINI: 0.2604371, SHANNON_ENTROPY: 12.9144244, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 241, 'shrink': 580, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0640711, PRECISION: 0.0128939, PRECISION_RECALL_MIN_DEN: 0.0464476, RECALL: 0.0451487, MAP: 0.0199402, MRR: 0.0447247, NDCG: 0.0315172, F1: 0.0200552, HIT_RATE: 0.1289385, ARHR: 0.0489003, NOVELTY: 0.0050230, AVERAGE_POPULARITY: 0.0146847, DIVERSITY_MEAN_INTER_LIST: 0.9968723, DIVERSITY_HERFINDAHL: 0.9996683, COVERAGE_ITEM: 0.5082117, COVERAGE_ITEM_CORRECT: 0.0239846, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0707437, DIVERSITY_GINI: 0.2378515, SHANNON_ENTROPY: 12.8014806, 

SearchBayesianSkopt-CV: New best config found. Config 26: {'topK': 384, 'shrink': 194, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0842912, PRECISION: 0.0175686, PRECISION_RECALL_MIN_DEN: 0.0652678, RECALL: 0.0634241, MAP: 0.0269600, MRR: 0.0580962, NDCG: 0.0427513, F1: 0.0275126, HIT_RATE: 0.1756860, ARHR: 0.0643761, NOVELTY: 0.0050420, AVERAGE_POPULARITY: 0.0164612, DIVERSITY_MEAN_INTER_LIST: 0.9976985, DIVERSITY_HERFINDAHL: 0.9997509, COVERAGE_ITEM: 0.6252089, COVERAGE_ITEM_CORRECT: 0.0326776, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0938216, DIVERSITY_GINI: 0.3224752, SHANNON_ENTROPY: 13.2298482, 
