

SearchBayesianSkopt-CV: New best config found. Config 17: {'topK': 598, 'shrink': 682, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.7263480467960148} - results: ROC_AUC: 0.1245912, PRECISION: 0.0254948, PRECISION_RECALL_MIN_DEN: 0.1003525, RECALL: 0.0983310, MAP: 0.0426965, MRR: 0.0861846, NDCG: 0.0664127, F1: 0.0404909, HIT_RATE: 0.2549479, ARHR: 0.0952277, NOVELTY: 0.0047403, AVERAGE_POPULARITY: 0.0528562, DIVERSITY_MEAN_INTER_LIST: 0.9947097, DIVERSITY_HERFINDAHL: 0.9994506, COVERAGE_ITEM: 0.5778402, COVERAGE_ITEM_CORRECT: 0.0364658, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1279477, DIVERSITY_GINI: 0.2653429, SHANNON_ENTROPY: 12.7193744, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 620, 'shrink': 435, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 4.428111434487846} - results: ROC_AUC: 0.1013132, PRECISION: 0.0208502, PRECISION_RECALL_MIN_DEN: 0.0815720, RECALL: 0.0797796, MAP: 0.0333859, MRR: 0.0692171, NDCG: 0.0528971, F1: 0.0330597, HIT_RATE: 0.2085021, ARHR: 0.0761919, NOVELTY: 0.0047002, AVERAGE_POPULARITY: 0.0313293, DIVERSITY_MEAN_INTER_LIST: 0.9964374, DIVERSITY_HERFINDAHL: 0.9996234, COVERAGE_ITEM: 0.6296362, COVERAGE_ITEM_CORRECT: 0.0326237, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1051969, DIVERSITY_GINI: 0.3247714, SHANNON_ENTROPY: 13.1409597, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 570, 'shrink': 836, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'icm_weight': 1.6919930143580002} - results: ROC_AUC: 0.1118169, PRECISION: 0.0220729, PRECISION_RECALL_MIN_DEN: 0.0859934, RECALL: 0.0842428, MAP: 0.0367179, MRR: 0.0772110, NDCG: 0.0575126, F1: 0.0349796, HIT_RATE: 0.2207290, ARHR: 0.0845012, NOVELTY: 0.0045722, AVERAGE_POPULARITY: 0.0998895, DIVERSITY_MEAN_INTER_LIST: 0.9847540, DIVERSITY_HERFINDAHL: 0.9984553, COVERAGE_ITEM: 0.4380212, COVERAGE_ITEM_CORRECT: 0.0254937, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1122688, DIVERSITY_GINI: 0.1559047, SHANNON_ENTROPY: 11.6032036, 

SearchBayesianSkopt-CV: New best config found. Config 20: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.0} - results: ROC_AUC: 0.1270793, PRECISION: 0.0253020, PRECISION_RECALL_MIN_DEN: 0.1033180, RECALL: 0.1015067, MAP: 0.0444868, MRR: 0.0889026, NDCG: 0.0686088, F1: 0.0405026, HIT_RATE: 0.2530202, ARHR: 0.0974286, NOVELTY: 0.0045747, AVERAGE_POPULARITY: 0.1274071, DIVERSITY_MEAN_INTER_LIST: 0.9773143, DIVERSITY_HERFINDAHL: 0.9977115, COVERAGE_ITEM: 0.4080924, COVERAGE_ITEM_CORRECT: 0.0282117, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1281993, DIVERSITY_GINI: 0.1271492, SHANNON_ENTROPY: 11.0935220, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 956, 'shrink': 999, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'icm_weight': 19.66682591414231} - results: ROC_AUC: 0.1003949, PRECISION: 0.0206938, PRECISION_RECALL_MIN_DEN: 0.0852638, RECALL: 0.0836617, MAP: 0.0345189, MRR: 0.0683894, NDCG: 0.0543663, F1: 0.0331790, HIT_RATE: 0.2069377, ARHR: 0.0746784, NOVELTY: 0.0047383, AVERAGE_POPULARITY: 0.0260666, DIVERSITY_MEAN_INTER_LIST: 0.9964513, DIVERSITY_HERFINDAHL: 0.9996248, COVERAGE_ITEM: 0.6020481, COVERAGE_ITEM_CORRECT: 0.0340096, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1059519, DIVERSITY_GINI: 0.3016413, SHANNON_ENTROPY: 13.0655630, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'icm_weight': 1.0} - results: ROC_AUC: 0.1057347, PRECISION: 0.0212148, PRECISION_RECALL_MIN_DEN: 0.0830568, RECALL: 0.0813819, MAP: 0.0356241, MRR: 0.0732727, NDCG: 0.0554486, F1: 0.0336553, HIT_RATE: 0.2121480, ARHR: 0.0802863, NOVELTY: 0.0050467, AVERAGE_POPULARITY: 0.0278056, DIVERSITY_MEAN_INTER_LIST: 0.9967514, DIVERSITY_HERFINDAHL: 0.9996548, COVERAGE_ITEM: 0.6165698, COVERAGE_ITEM_CORRECT: 0.0353186, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1075878, DIVERSITY_GINI: 0.3182668, SHANNON_ENTROPY: 13.1677554, 

SearchBayesianSkopt-CV: New best config found. Config 23: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.0} - results: ROC_AUC: 0.1304060, PRECISION: 0.0261239, PRECISION_RECALL_MIN_DEN: 0.1046297, RECALL: 0.1026662, MAP: 0.0449181, MRR: 0.0908111, NDCG: 0.0695614, F1: 0.0416478, HIT_RATE: 0.2612385, ARHR: 0.0998912, NOVELTY: 0.0047928, AVERAGE_POPULARITY: 0.0702619, DIVERSITY_MEAN_INTER_LIST: 0.9923948, DIVERSITY_HERFINDAHL: 0.9992192, COVERAGE_ITEM: 0.5110606, COVERAGE_ITEM_CORRECT: 0.0348258, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1316472, DIVERSITY_GINI: 0.2056433, SHANNON_ENTROPY: 12.2445198, 
