
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 345, 'shrink': 514, 'similarity': 'dice', 'normalize': True, 'icm_weight': 2.7679528673732827} - results: ROC_AUC: 0.1110047, PRECISION: 0.0221864, PRECISION_RECALL_MIN_DEN: 0.0895723, RECALL: 0.0877449, MAP: 0.0375074, MRR: 0.0757626, NDCG: 0.0584970, F1: 0.0354157, HIT_RATE: 0.2218638, ARHR: 0.0828734, NOVELTY: 0.0047101, AVERAGE_POPULARITY: 0.0584410, DIVERSITY_MEAN_INTER_LIST: 0.9932910, DIVERSITY_HERFINDAHL: 0.9993088, COVERAGE_ITEM: 0.4745024, COVERAGE_ITEM_CORRECT: 0.0300982, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1129734, DIVERSITY_GINI: 0.1966056, SHANNON_ENTROPY: 12.3101353, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 39, 'shrink': 996, 'similarity': 'dice', 'normalize': False, 'icm_weight': 17.78514356528111} - results: ROC_AUC: 0.1109654, PRECISION: 0.0224726, PRECISION_RECALL_MIN_DEN: 0.0895161, RECALL: 0.0876634, MAP: 0.0376627, MRR: 0.0754873, NDCG: 0.0586516, F1: 0.0357715, HIT_RATE: 0.2247257, ARHR: 0.0831961, NOVELTY: 0.0046740, AVERAGE_POPULARITY: 0.0617379, DIVERSITY_MEAN_INTER_LIST: 0.9927321, DIVERSITY_HERFINDAHL: 0.9992529, COVERAGE_ITEM: 0.5386564, COVERAGE_ITEM_CORRECT: 0.0307141, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1131999, DIVERSITY_GINI: 0.2374330, SHANNON_ENTROPY: 12.4868918, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 14, 'shrink': 988, 'similarity': 'dice', 'normalize': True, 'icm_weight': 19.915744376196397} - results: ROC_AUC: 0.1047312, PRECISION: 0.0208242, PRECISION_RECALL_MIN_DEN: 0.0839016, RECALL: 0.0822320, MAP: 0.0357414, MRR: 0.0715579, NDCG: 0.0553052, F1: 0.0332294, HIT_RATE: 0.2082424, ARHR: 0.0782218, NOVELTY: 0.0046624, AVERAGE_POPULARITY: 0.0590328, DIVERSITY_MEAN_INTER_LIST: 0.9896994, DIVERSITY_HERFINDAHL: 0.9989497, COVERAGE_ITEM: 0.5583677, COVERAGE_ITEM_CORRECT: 0.0292204, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1064049, DIVERSITY_GINI: 0.2443404, SHANNON_ENTROPY: 12.3988997, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 6, 'shrink': 62, 'similarity': 'dice', 'normalize': True, 'icm_weight': 1.2216967406069754} - results: ROC_AUC: 0.0922416, PRECISION: 0.0183930, PRECISION_RECALL_MIN_DEN: 0.0745736, RECALL: 0.0730645, MAP: 0.0314972, MRR: 0.0626626, NDCG: 0.0488550, F1: 0.0293867, HIT_RATE: 0.1839301, ARHR: 0.0680789, NOVELTY: 0.0047029, AVERAGE_POPULARITY: 0.0369004, DIVERSITY_MEAN_INTER_LIST: 0.9796321, DIVERSITY_HERFINDAHL: 0.9979432, COVERAGE_ITEM: 0.5895746, COVERAGE_ITEM_CORRECT: 0.0294206, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0947276, DIVERSITY_GINI: 0.2685888, SHANNON_ENTROPY: 12.3686730, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 990, 'shrink': 992, 'similarity': 'dice', 'normalize': False, 'icm_weight': 19.315030370970018} - results: ROC_AUC: 0.1093284, PRECISION: 0.0217029, PRECISION_RECALL_MIN_DEN: 0.0883892, RECALL: 0.0867063, MAP: 0.0369755, MRR: 0.0740791, NDCG: 0.0577165, F1: 0.0347144, HIT_RATE: 0.2170293, ARHR: 0.0807776, NOVELTY: 0.0047133, AVERAGE_POPULARITY: 0.0616722, DIVERSITY_MEAN_INTER_LIST: 0.9922378, DIVERSITY_HERFINDAHL: 0.9992035, COVERAGE_ITEM: 0.4432108, COVERAGE_ITEM_CORRECT: 0.0287661, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1111866, DIVERSITY_GINI: 0.1719464, SHANNON_ENTROPY: 12.0859973, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'dice', 'normalize': False, 'icm_weight': 20.0} - results: ROC_AUC: 0.1093653, PRECISION: 0.0217438, PRECISION_RECALL_MIN_DEN: 0.0885449, RECALL: 0.0868503, MAP: 0.0370350, MRR: 0.0741848, NDCG: 0.0578063, F1: 0.0347785, HIT_RATE: 0.2174379, ARHR: 0.0808916, NOVELTY: 0.0047128, AVERAGE_POPULARITY: 0.0617156, DIVERSITY_MEAN_INTER_LIST: 0.9922218, DIVERSITY_HERFINDAHL: 0.9992019, COVERAGE_ITEM: 0.4428335, COVERAGE_ITEM_CORRECT: 0.0288123, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114131, DIVERSITY_GINI: 0.1716984, SHANNON_ENTROPY: 12.0835141, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'dice', 'normalize': False, 'icm_weight': 20.0} - results: ROC_AUC: 0.1093653, PRECISION: 0.0217438, PRECISION_RECALL_MIN_DEN: 0.0885449, RECALL: 0.0868503, MAP: 0.0370350, MRR: 0.0741848, NDCG: 0.0578063, F1: 0.0347785, HIT_RATE: 0.2174379, ARHR: 0.0808916, NOVELTY: 0.0047128, AVERAGE_POPULARITY: 0.0617156, DIVERSITY_MEAN_INTER_LIST: 0.9922218, DIVERSITY_HERFINDAHL: 0.9992019, COVERAGE_ITEM: 0.4428335, COVERAGE_ITEM_CORRECT: 0.0288123, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114131, DIVERSITY_GINI: 0.1716984, SHANNON_ENTROPY: 12.0835141, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 23, 'shrink': 964, 'similarity': 'dice', 'normalize': False, 'icm_weight': 1.249765635351946} - results: ROC_AUC: 0.1093912, PRECISION: 0.0216144, PRECISION_RECALL_MIN_DEN: 0.0869078, RECALL: 0.0851863, MAP: 0.0371838, MRR: 0.0750985, NDCG: 0.0575465, F1: 0.0344777, HIT_RATE: 0.2161437, ARHR: 0.0819771, NOVELTY: 0.0046682, AVERAGE_POPULARITY: 0.0607115, DIVERSITY_MEAN_INTER_LIST: 0.9919334, DIVERSITY_HERFINDAHL: 0.9991731, COVERAGE_ITEM: 0.5503446, COVERAGE_ITEM_CORRECT: 0.0298287, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1105574, DIVERSITY_GINI: 0.2431266, SHANNON_ENTROPY: 12.4776793, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 6, 'shrink': 15, 'similarity': 'dice', 'normalize': False, 'icm_weight': 19.18641387042887} - results: ROC_AUC: 0.0900057, PRECISION: 0.0175916, PRECISION_RECALL_MIN_DEN: 0.0729102, RECALL: 0.0714841, MAP: 0.0308214, MRR: 0.0610223, NDCG: 0.0476519, F1: 0.0282343, HIT_RATE: 0.1759164, ARHR: 0.0660029, NOVELTY: 0.0047067, AVERAGE_POPULARITY: 0.0285898, DIVERSITY_MEAN_INTER_LIST: 0.9761819, DIVERSITY_HERFINDAHL: 0.9975982, COVERAGE_ITEM: 0.6158768, COVERAGE_ITEM_CORRECT: 0.0296285, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0915062, DIVERSITY_GINI: 0.2934456, SHANNON_ENTROPY: 12.4450880, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 999, 'shrink': 6, 'similarity': 'dice', 'normalize': False, 'icm_weight': 1.119618046699878} - results: ROC_AUC: 0.0962996, PRECISION: 0.0190553, PRECISION_RECALL_MIN_DEN: 0.0799861, RECALL: 0.0785553, MAP: 0.0333622, MRR: 0.0652481, NDCG: 0.0517495, F1: 0.0306664, HIT_RATE: 0.1905531, ARHR: 0.0708378, NOVELTY: 0.0047604, AVERAGE_POPULARITY: 0.0255433, DIVERSITY_MEAN_INTER_LIST: 0.9963101, DIVERSITY_HERFINDAHL: 0.9996106, COVERAGE_ITEM: 0.5459172, COVERAGE_ITEM_CORRECT: 0.0317844, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0987542, DIVERSITY_GINI: 0.2615176, SHANNON_ENTROPY: 12.8916678, 
