
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 96, 'shrink': 638, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1467336, PRECISION: 0.0303021, PRECISION_RECALL_MIN_DEN: 0.1037869, RECALL: 0.1002440, MAP: 0.0496610, MRR: 0.1096044, NDCG: 0.0745173, F1: 0.0465358, HIT_RATE: 0.3030213, ARHR: 0.1256875, NOVELTY: 0.0048513, AVERAGE_POPULARITY: 0.1127874, DIVERSITY_MEAN_INTER_LIST: 0.9808365, DIVERSITY_HERFINDAHL: 0.9980663, COVERAGE_ITEM: 0.4422098, COVERAGE_ITEM_CORRECT: 0.0315996, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1612181, DIVERSITY_GINI: 0.1337115, SHANNON_ENTROPY: 11.2197377, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 650, 'shrink': 465, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1467712, PRECISION: 0.0301529, PRECISION_RECALL_MIN_DEN: 0.1043546, RECALL: 0.1009277, MAP: 0.0489795, MRR: 0.1086832, NDCG: 0.0741581, F1: 0.0464317, HIT_RATE: 0.3015295, ARHR: 0.1241599, NOVELTY: 0.0047676, AVERAGE_POPULARITY: 0.1226428, DIVERSITY_MEAN_INTER_LIST: 0.9762939, DIVERSITY_HERFINDAHL: 0.9976121, COVERAGE_ITEM: 0.4066064, COVERAGE_ITEM_CORRECT: 0.0303908, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1620989, DIVERSITY_GINI: 0.1111356, SHANNON_ENTROPY: 10.8882338, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 7, 'shrink': 16, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1315454, PRECISION: 0.0267060, PRECISION_RECALL_MIN_DEN: 0.0900276, RECALL: 0.0868428, MAP: 0.0420795, MRR: 0.0949297, NDCG: 0.0641716, F1: 0.0408491, HIT_RATE: 0.2670600, ARHR: 0.1079705, NOVELTY: 0.0052247, AVERAGE_POPULARITY: 0.0550425, DIVERSITY_MEAN_INTER_LIST: 0.9822591, DIVERSITY_HERFINDAHL: 0.9982086, COVERAGE_ITEM: 0.4796227, COVERAGE_ITEM_CORRECT: 0.0372666, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1457405, DIVERSITY_GINI: 0.1864704, SHANNON_ENTROPY: 11.9551639, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 999, 'shrink': 994, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1453605, PRECISION: 0.0297688, PRECISION_RECALL_MIN_DEN: 0.1041214, RECALL: 0.1008077, MAP: 0.0485908, MRR: 0.1071365, NDCG: 0.0736164, F1: 0.0459631, HIT_RATE: 0.2976880, ARHR: 0.1222172, NOVELTY: 0.0047278, AVERAGE_POPULARITY: 0.1339892, DIVERSITY_MEAN_INTER_LIST: 0.9718569, DIVERSITY_HERFINDAHL: 0.9971685, COVERAGE_ITEM: 0.3981752, COVERAGE_ITEM_CORRECT: 0.0292358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1609664, DIVERSITY_GINI: 0.1054636, SHANNON_ENTROPY: 10.7216087, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1452413, PRECISION: 0.0297759, PRECISION_RECALL_MIN_DEN: 0.1041165, RECALL: 0.1007997, MAP: 0.0485964, MRR: 0.1071484, NDCG: 0.0736213, F1: 0.0459707, HIT_RATE: 0.2977595, ARHR: 0.1222308, NOVELTY: 0.0047277, AVERAGE_POPULARITY: 0.1340510, DIVERSITY_MEAN_INTER_LIST: 0.9718339, DIVERSITY_HERFINDAHL: 0.9971662, COVERAGE_ITEM: 0.3981213, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1609412, DIVERSITY_GINI: 0.1054419, SHANNON_ENTROPY: 10.7209428, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 988, 'shrink': 2, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1079488, PRECISION: 0.0228255, PRECISION_RECALL_MIN_DEN: 0.0801918, RECALL: 0.0779613, MAP: 0.0353606, MRR: 0.0770670, NDCG: 0.0549742, F1: 0.0353093, HIT_RATE: 0.2282547, ARHR: 0.0877219, NOVELTY: 0.0055628, AVERAGE_POPULARITY: 0.0300181, DIVERSITY_MEAN_INTER_LIST: 0.9974170, DIVERSITY_HERFINDAHL: 0.9997241, COVERAGE_ITEM: 0.6043657, COVERAGE_ITEM_CORRECT: 0.0380982, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1253806, DIVERSITY_GINI: 0.2986361, SHANNON_ENTROPY: 13.1132139, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1253803, PRECISION: 0.0239987, PRECISION_RECALL_MIN_DEN: 0.0828069, RECALL: 0.0801486, MAP: 0.0409986, MRR: 0.0931885, NDCG: 0.0613321, F1: 0.0369359, HIT_RATE: 0.2399867, ARHR: 0.1039498, NOVELTY: 0.0050287, AVERAGE_POPULARITY: 0.0797737, DIVERSITY_MEAN_INTER_LIST: 0.9668882, DIVERSITY_HERFINDAHL: 0.9966717, COVERAGE_ITEM: 0.3971896, COVERAGE_ITEM_CORRECT: 0.0279423, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1351957, DIVERSITY_GINI: 0.1184406, SHANNON_ENTROPY: 10.9658870, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 985, 'shrink': 991, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1452642, PRECISION: 0.0297583, PRECISION_RECALL_MIN_DEN: 0.1040361, RECALL: 0.1007093, MAP: 0.0486224, MRR: 0.1071698, NDCG: 0.0736157, F1: 0.0459405, HIT_RATE: 0.2975830, ARHR: 0.1222746, NOVELTY: 0.0047285, AVERAGE_POPULARITY: 0.1339008, DIVERSITY_MEAN_INTER_LIST: 0.9718927, DIVERSITY_HERFINDAHL: 0.9971721, COVERAGE_ITEM: 0.3986987, COVERAGE_ITEM_CORRECT: 0.0292435, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1607399, DIVERSITY_GINI: 0.1056615, SHANNON_ENTROPY: 10.7245478, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 7, 'shrink': 5, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1214842, PRECISION: 0.0245188, PRECISION_RECALL_MIN_DEN: 0.0834183, RECALL: 0.0805066, MAP: 0.0385831, MRR: 0.0869512, NDCG: 0.0590414, F1: 0.0375873, HIT_RATE: 0.2451878, ARHR: 0.0985173, NOVELTY: 0.0054098, AVERAGE_POPULARITY: 0.0406324, DIVERSITY_MEAN_INTER_LIST: 0.9803461, DIVERSITY_HERFINDAHL: 0.9980173, COVERAGE_ITEM: 0.5361386, COVERAGE_ITEM_CORRECT: 0.0377209, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1356990, DIVERSITY_GINI: 0.2407428, SHANNON_ENTROPY: 12.2820186, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 998, 'shrink': 569, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1462168, PRECISION: 0.0298813, PRECISION_RECALL_MIN_DEN: 0.1043503, RECALL: 0.1010396, MAP: 0.0487439, MRR: 0.1076731, NDCG: 0.0738424, F1: 0.0461211, HIT_RATE: 0.2988132, ARHR: 0.1229234, NOVELTY: 0.0047434, AVERAGE_POPULARITY: 0.1275652, DIVERSITY_MEAN_INTER_LIST: 0.9742701, DIVERSITY_HERFINDAHL: 0.9974098, COVERAGE_ITEM: 0.3992993, COVERAGE_ITEM_CORRECT: 0.0298056, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1611426, DIVERSITY_GINI: 0.1065715, SHANNON_ENTROPY: 10.7854248, 
