
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 643, 'shrink': 779, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1482916, PRECISION: 0.0301513, PRECISION_RECALL_MIN_DEN: 0.1081879, RECALL: 0.1050112, MAP: 0.0501323, MRR: 0.1087089, NDCG: 0.0759808, F1: 0.0468477, HIT_RATE: 0.3015133, ARHR: 0.1235082, NOVELTY: 0.0045555, AVERAGE_POPULARITY: 0.1624639, DIVERSITY_MEAN_INTER_LIST: 0.9600813, DIVERSITY_HERFINDAHL: 0.9959912, COVERAGE_ITEM: 0.3134321, COVERAGE_ITEM_CORRECT: 0.0281886, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1643387, DIVERSITY_GINI: 0.0701061, SHANNON_ENTROPY: 10.1316652, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 315, 'shrink': 917, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1539516, PRECISION: 0.0315962, PRECISION_RECALL_MIN_DEN: 0.1124059, RECALL: 0.1091041, MAP: 0.0519546, MRR: 0.1136382, NDCG: 0.0790028, F1: 0.0489989, HIT_RATE: 0.3159624, ARHR: 0.1293082, NOVELTY: 0.0046521, AVERAGE_POPULARITY: 0.1366369, DIVERSITY_MEAN_INTER_LIST: 0.9743010, DIVERSITY_HERFINDAHL: 0.9974129, COVERAGE_ITEM: 0.3387488, COVERAGE_ITEM_CORRECT: 0.0313224, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1716119, DIVERSITY_GINI: 0.0839443, SHANNON_ENTROPY: 10.5973789, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1544020, PRECISION: 0.0318266, PRECISION_RECALL_MIN_DEN: 0.1132167, RECALL: 0.1100007, MAP: 0.0532007, MRR: 0.1140102, NDCG: 0.0802019, F1: 0.0493654, HIT_RATE: 0.3182656, ARHR: 0.1301355, NOVELTY: 0.0046668, AVERAGE_POPULARITY: 0.1493287, DIVERSITY_MEAN_INTER_LIST: 0.9672370, DIVERSITY_HERFINDAHL: 0.9967066, COVERAGE_ITEM: 0.3729663, COVERAGE_ITEM_CORRECT: 0.0314918, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1716623, DIVERSITY_GINI: 0.0988820, SHANNON_ENTROPY: 10.6334279, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 998, 'shrink': 970, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1449986, PRECISION: 0.0294267, PRECISION_RECALL_MIN_DEN: 0.1057713, RECALL: 0.1026588, MAP: 0.0491264, MRR: 0.1062406, NDCG: 0.0743326, F1: 0.0457389, HIT_RATE: 0.2942675, ARHR: 0.1205451, NOVELTY: 0.0045210, AVERAGE_POPULARITY: 0.1725273, DIVERSITY_MEAN_INTER_LIST: 0.9529780, DIVERSITY_HERFINDAHL: 0.9952810, COVERAGE_ITEM: 0.3046468, COVERAGE_ITEM_CORRECT: 0.0271338, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1607147, DIVERSITY_GINI: 0.0657064, SHANNON_ENTROPY: 9.9608056, 

SearchBayesianSkopt-CV: New best config found. Config 22: {'topK': 204, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1617333, PRECISION: 0.0342970, PRECISION_RECALL_MIN_DEN: 0.1173701, RECALL: 0.1136170, MAP: 0.0550734, MRR: 0.1200100, NDCG: 0.0833411, F1: 0.0526848, HIT_RATE: 0.3429698, ARHR: 0.1384300, NOVELTY: 0.0047870, AVERAGE_POPULARITY: 0.1142543, DIVERSITY_MEAN_INTER_LIST: 0.9827803, DIVERSITY_HERFINDAHL: 0.9982607, COVERAGE_ITEM: 0.3916920, COVERAGE_ITEM_CORRECT: 0.0371434, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1809991, DIVERSITY_GINI: 0.1137206, SHANNON_ENTROPY: 11.1497538, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 203, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1618813, PRECISION: 0.0342475, PRECISION_RECALL_MIN_DEN: 0.1172795, RECALL: 0.1135398, MAP: 0.0550682, MRR: 0.1201521, NDCG: 0.0833277, F1: 0.0526180, HIT_RATE: 0.3424747, ARHR: 0.1385291, NOVELTY: 0.0047877, AVERAGE_POPULARITY: 0.1140826, DIVERSITY_MEAN_INTER_LIST: 0.9828349, DIVERSITY_HERFINDAHL: 0.9982661, COVERAGE_ITEM: 0.3917767, COVERAGE_ITEM_CORRECT: 0.0370664, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1809488, DIVERSITY_GINI: 0.1138058, SHANNON_ENTROPY: 11.1524594, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 54, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1522617, PRECISION: 0.0311304, PRECISION_RECALL_MIN_DEN: 0.1122589, RECALL: 0.1090737, MAP: 0.0521895, MRR: 0.1121227, NDCG: 0.0788895, F1: 0.0484332, HIT_RATE: 0.3113040, ARHR: 0.1275394, NOVELTY: 0.0045522, AVERAGE_POPULARITY: 0.1664393, DIVERSITY_MEAN_INTER_LIST: 0.9582032, DIVERSITY_HERFINDAHL: 0.9958034, COVERAGE_ITEM: 0.3181983, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1692463, DIVERSITY_GINI: 0.0716364, SHANNON_ENTROPY: 10.1227532, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 189, 'shrink': 969, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1582340, PRECISION: 0.0324301, PRECISION_RECALL_MIN_DEN: 0.1142812, RECALL: 0.1108768, MAP: 0.0536346, MRR: 0.1168082, NDCG: 0.0810735, F1: 0.0501803, HIT_RATE: 0.3243014, ARHR: 0.1331793, NOVELTY: 0.0047511, AVERAGE_POPULARITY: 0.1154490, DIVERSITY_MEAN_INTER_LIST: 0.9828566, DIVERSITY_HERFINDAHL: 0.9982683, COVERAGE_ITEM: 0.3686314, COVERAGE_ITEM_CORRECT: 0.0338479, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1750598, DIVERSITY_GINI: 0.1012986, SHANNON_ENTROPY: 11.0418403, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 437, 'shrink': 1, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1576927, PRECISION: 0.0328194, PRECISION_RECALL_MIN_DEN: 0.1151891, RECALL: 0.1117160, MAP: 0.0541834, MRR: 0.1172833, NDCG: 0.0816881, F1: 0.0507312, HIT_RATE: 0.3281945, ARHR: 0.1343610, NOVELTY: 0.0046924, AVERAGE_POPULARITY: 0.1387851, DIVERSITY_MEAN_INTER_LIST: 0.9728553, DIVERSITY_HERFINDAHL: 0.9972683, COVERAGE_ITEM: 0.3747295, COVERAGE_ITEM_CORRECT: 0.0332089, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1754373, DIVERSITY_GINI: 0.1004129, SHANNON_ENTROPY: 10.7458966, 

SearchBayesianSkopt-CV: New best config found. Config 27: {'topK': 235, 'shrink': 7, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1629726, PRECISION: 0.0342117, PRECISION_RECALL_MIN_DEN: 0.1186312, RECALL: 0.1149232, MAP: 0.0559422, MRR: 0.1211052, NDCG: 0.0843148, F1: 0.0527237, HIT_RATE: 0.3421167, ARHR: 0.1391266, NOVELTY: 0.0047290, AVERAGE_POPULARITY: 0.1235314, DIVERSITY_MEAN_INTER_LIST: 0.9795294, DIVERSITY_HERFINDAHL: 0.9979356, COVERAGE_ITEM: 0.3713956, COVERAGE_ITEM_CORRECT: 0.0361501, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1819555, DIVERSITY_GINI: 0.1004273, SHANNON_ENTROPY: 10.9104100, 
