
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 400, 'shrink': 787, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1001400, PRECISION: 0.0201848, PRECISION_RECALL_MIN_DEN: 0.0776626, RECALL: 0.0757099, MAP: 0.0346520, MRR: 0.0709440, NDCG: 0.0527559, F1: 0.0318705, HIT_RATE: 0.2018478, ARHR: 0.0785951, NOVELTY: 0.0050864, AVERAGE_POPULARITY: 0.0169506, DIVERSITY_MEAN_INTER_LIST: 0.9967854, DIVERSITY_HERFINDAHL: 0.9996596, COVERAGE_ITEM: 0.4795611, COVERAGE_ITEM_CORRECT: 0.0365890, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1076129, DIVERSITY_GINI: 0.2235233, SHANNON_ENTROPY: 12.7277715, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 134, 'shrink': 699, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0913017, PRECISION: 0.0181595, PRECISION_RECALL_MIN_DEN: 0.0700496, RECALL: 0.0683859, MAP: 0.0305637, MRR: 0.0645831, NDCG: 0.0471917, F1: 0.0286975, HIT_RATE: 0.1815949, ARHR: 0.0708245, NOVELTY: 0.0050223, AVERAGE_POPULARITY: 0.0149409, DIVERSITY_MEAN_INTER_LIST: 0.9976763, DIVERSITY_HERFINDAHL: 0.9997487, COVERAGE_ITEM: 0.5848008, COVERAGE_ITEM_CORRECT: 0.0345101, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0993834, DIVERSITY_GINI: 0.2983118, SHANNON_ENTROPY: 13.1497891, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 9, 'shrink': 283, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0802581, PRECISION: 0.0153728, PRECISION_RECALL_MIN_DEN: 0.0600995, RECALL: 0.0587956, MAP: 0.0266796, MRR: 0.0563506, NDCG: 0.0410001, F1: 0.0243717, HIT_RATE: 0.1537277, ARHR: 0.0611223, NOVELTY: 0.0049936, AVERAGE_POPULARITY: 0.0145420, DIVERSITY_MEAN_INTER_LIST: 0.9933616, DIVERSITY_HERFINDAHL: 0.9993173, COVERAGE_ITEM: 0.5896670, COVERAGE_ITEM_CORRECT: 0.0295592, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0862967, DIVERSITY_GINI: 0.2843624, SHANNON_ENTROPY: 12.8764808, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 228, 'shrink': 184, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1005832, PRECISION: 0.0201426, PRECISION_RECALL_MIN_DEN: 0.0772925, RECALL: 0.0752877, MAP: 0.0346446, MRR: 0.0711493, NDCG: 0.0526503, F1: 0.0317814, HIT_RATE: 0.2014262, ARHR: 0.0788627, NOVELTY: 0.0050847, AVERAGE_POPULARITY: 0.0168986, DIVERSITY_MEAN_INTER_LIST: 0.9968301, DIVERSITY_HERFINDAHL: 0.9996641, COVERAGE_ITEM: 0.4855361, COVERAGE_ITEM_CORRECT: 0.0365197, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1073613, DIVERSITY_GINI: 0.2285749, SHANNON_ENTROPY: 12.7607130, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 219, 'shrink': 791, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0817933, PRECISION: 0.0164082, PRECISION_RECALL_MIN_DEN: 0.0630641, RECALL: 0.0615119, MAP: 0.0272752, MRR: 0.0578325, NDCG: 0.0422967, F1: 0.0259034, HIT_RATE: 0.1640820, ARHR: 0.0634061, NOVELTY: 0.0050803, AVERAGE_POPULARITY: 0.0155726, DIVERSITY_MEAN_INTER_LIST: 0.9961666, DIVERSITY_HERFINDAHL: 0.9995978, COVERAGE_ITEM: 0.4176862, COVERAGE_ITEM_CORRECT: 0.0298287, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0896691, DIVERSITY_GINI: 0.1813191, SHANNON_ENTROPY: 12.4412940, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 646, 'shrink': 108, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0798828, PRECISION: 0.0159461, PRECISION_RECALL_MIN_DEN: 0.0625612, RECALL: 0.0611814, MAP: 0.0270110, MRR: 0.0565261, NDCG: 0.0418510, F1: 0.0252943, HIT_RATE: 0.1594611, ARHR: 0.0616389, NOVELTY: 0.0050847, AVERAGE_POPULARITY: 0.0154842, DIVERSITY_MEAN_INTER_LIST: 0.9957560, DIVERSITY_HERFINDAHL: 0.9995567, COVERAGE_ITEM: 0.4022637, COVERAGE_ITEM_CORRECT: 0.0290048, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0881087, DIVERSITY_GINI: 0.1679603, SHANNON_ENTROPY: 12.3148816, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 493, 'shrink': 793, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1011044, PRECISION: 0.0202456, PRECISION_RECALL_MIN_DEN: 0.0782700, RECALL: 0.0763602, MAP: 0.0349945, MRR: 0.0716552, NDCG: 0.0532531, F1: 0.0320035, HIT_RATE: 0.2024555, ARHR: 0.0792915, NOVELTY: 0.0050798, AVERAGE_POPULARITY: 0.0166852, DIVERSITY_MEAN_INTER_LIST: 0.9970287, DIVERSITY_HERFINDAHL: 0.9996840, COVERAGE_ITEM: 0.4991954, COVERAGE_ITEM_CORRECT: 0.0368354, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1082924, DIVERSITY_GINI: 0.2372430, SHANNON_ENTROPY: 12.8177239, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 680, 'shrink': 782, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0797690, PRECISION: 0.0159082, PRECISION_RECALL_MIN_DEN: 0.0624230, RECALL: 0.0610481, MAP: 0.0269610, MRR: 0.0563633, NDCG: 0.0417623, F1: 0.0252357, HIT_RATE: 0.1590820, ARHR: 0.0614758, NOVELTY: 0.0050849, AVERAGE_POPULARITY: 0.0154876, DIVERSITY_MEAN_INTER_LIST: 0.9957339, DIVERSITY_HERFINDAHL: 0.9995545, COVERAGE_ITEM: 0.4016169, COVERAGE_ITEM_CORRECT: 0.0289201, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0878067, DIVERSITY_GINI: 0.1675308, SHANNON_ENTROPY: 12.3101259, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 219, 'shrink': 425, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0818441, PRECISION: 0.0164271, PRECISION_RECALL_MIN_DEN: 0.0631603, RECALL: 0.0616092, MAP: 0.0272914, MRR: 0.0579019, NDCG: 0.0423422, F1: 0.0259359, HIT_RATE: 0.1642713, ARHR: 0.0634727, NOVELTY: 0.0050800, AVERAGE_POPULARITY: 0.0155717, DIVERSITY_MEAN_INTER_LIST: 0.9961745, DIVERSITY_HERFINDAHL: 0.9995986, COVERAGE_ITEM: 0.4181405, COVERAGE_ITEM_CORRECT: 0.0298672, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0898201, DIVERSITY_GINI: 0.1816652, SHANNON_ENTROPY: 12.4440457, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 84, 'shrink': 5, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0832544, PRECISION: 0.0167005, PRECISION_RECALL_MIN_DEN: 0.0638229, RECALL: 0.0621621, MAP: 0.0275993, MRR: 0.0588546, NDCG: 0.0427974, F1: 0.0263262, HIT_RATE: 0.1670051, ARHR: 0.0646020, NOVELTY: 0.0050693, AVERAGE_POPULARITY: 0.0155301, DIVERSITY_MEAN_INTER_LIST: 0.9960977, DIVERSITY_HERFINDAHL: 0.9995909, COVERAGE_ITEM: 0.4405390, COVERAGE_ITEM_CORRECT: 0.0307064, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0909022, DIVERSITY_GINI: 0.1978794, SHANNON_ENTROPY: 12.5542193, 
