
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 574, 'shrink': 541, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 18.837923018812326} - results: ROC_AUC: 0.1365881, PRECISION: 0.0281931, PRECISION_RECALL_MIN_DEN: 0.1065385, RECALL: 0.1039537, MAP: 0.0458507, MRR: 0.0959807, NDCG: 0.0712853, F1: 0.0443559, HIT_RATE: 0.2819308, ARHR: 0.1076344, NOVELTY: 0.0048538, AVERAGE_POPULARITY: 0.0669733, DIVERSITY_MEAN_INTER_LIST: 0.9922378, DIVERSITY_HERFINDAHL: 0.9992050, COVERAGE_ITEM: 0.4600500, COVERAGE_ITEM_CORRECT: 0.0373590, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1476029, DIVERSITY_GINI: 0.1765593, SHANNON_ENTROPY: 12.1162439, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 293, 'shrink': 786, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 2.3037436064876946} - results: ROC_AUC: 0.1380420, PRECISION: 0.0285684, PRECISION_RECALL_MIN_DEN: 0.1064328, RECALL: 0.1037169, MAP: 0.0463744, MRR: 0.0980704, NDCG: 0.0718882, F1: 0.0447965, HIT_RATE: 0.2856844, ARHR: 0.1100231, NOVELTY: 0.0048384, AVERAGE_POPULARITY: 0.0695489, DIVERSITY_MEAN_INTER_LIST: 0.9919437, DIVERSITY_HERFINDAHL: 0.9991756, COVERAGE_ITEM: 0.4763118, COVERAGE_ITEM_CORRECT: 0.0377979, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1485844, DIVERSITY_GINI: 0.1870440, SHANNON_ENTROPY: 12.1684036, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 819, 'shrink': 60, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 15.509641514077016} - results: ROC_AUC: 0.1296673, PRECISION: 0.0265633, PRECISION_RECALL_MIN_DEN: 0.1022453, RECALL: 0.0998683, MAP: 0.0434306, MRR: 0.0905569, NDCG: 0.0677668, F1: 0.0419639, HIT_RATE: 0.2656335, ARHR: 0.1007119, NOVELTY: 0.0049554, AVERAGE_POPULARITY: 0.0428163, DIVERSITY_MEAN_INTER_LIST: 0.9960051, DIVERSITY_HERFINDAHL: 0.9995816, COVERAGE_ITEM: 0.5018672, COVERAGE_ITEM_CORRECT: 0.0403465, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1412357, DIVERSITY_GINI: 0.2173000, SHANNON_ENTROPY: 12.6042241, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 932, 'shrink': 169, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 9.819939283947228} - results: ROC_AUC: 0.1328404, PRECISION: 0.0271702, PRECISION_RECALL_MIN_DEN: 0.1039171, RECALL: 0.1015033, MAP: 0.0444285, MRR: 0.0926615, NDCG: 0.0692101, F1: 0.0428653, HIT_RATE: 0.2717016, ARHR: 0.1033870, NOVELTY: 0.0049036, AVERAGE_POPULARITY: 0.0550181, DIVERSITY_MEAN_INTER_LIST: 0.9942738, DIVERSITY_HERFINDAHL: 0.9994085, COVERAGE_ITEM: 0.4658094, COVERAGE_ITEM_CORRECT: 0.0381752, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1438279, DIVERSITY_GINI: 0.1862184, SHANNON_ENTROPY: 12.2980722, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 77, 'shrink': 272, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 7.683770567173067} - results: ROC_AUC: 0.1375468, PRECISION: 0.0286831, PRECISION_RECALL_MIN_DEN: 0.1059370, RECALL: 0.1030909, MAP: 0.0462818, MRR: 0.0976230, NDCG: 0.0715955, F1: 0.0448770, HIT_RATE: 0.2868313, ARHR: 0.1099781, NOVELTY: 0.0048629, AVERAGE_POPULARITY: 0.0614815, DIVERSITY_MEAN_INTER_LIST: 0.9938506, DIVERSITY_HERFINDAHL: 0.9993662, COVERAGE_ITEM: 0.5296092, COVERAGE_ITEM_CORRECT: 0.0397536, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1480307, DIVERSITY_GINI: 0.2269039, SHANNON_ENTROPY: 12.4914169, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 887, 'shrink': 320, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.949769489409668} - results: ROC_AUC: 0.1338275, PRECISION: 0.0274499, PRECISION_RECALL_MIN_DEN: 0.1045395, RECALL: 0.1020872, MAP: 0.0449666, MRR: 0.0939733, NDCG: 0.0699046, F1: 0.0432653, HIT_RATE: 0.2744993, ARHR: 0.1048745, NOVELTY: 0.0048735, AVERAGE_POPULARITY: 0.0621273, DIVERSITY_MEAN_INTER_LIST: 0.9930231, DIVERSITY_HERFINDAHL: 0.9992835, COVERAGE_ITEM: 0.4549374, COVERAGE_ITEM_CORRECT: 0.0371280, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1449352, DIVERSITY_GINI: 0.1750417, SHANNON_ENTROPY: 12.1485729, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 825, 'shrink': 678, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 6.3709738542380805} - results: ROC_AUC: 0.1346726, PRECISION: 0.0277493, PRECISION_RECALL_MIN_DEN: 0.1052134, RECALL: 0.1026814, MAP: 0.0453847, MRR: 0.0951176, NDCG: 0.0704934, F1: 0.0436903, HIT_RATE: 0.2774927, ARHR: 0.1061845, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.0684881, DIVERSITY_MEAN_INTER_LIST: 0.9917330, DIVERSITY_HERFINDAHL: 0.9991545, COVERAGE_ITEM: 0.4489779, COVERAGE_ITEM_CORRECT: 0.0363734, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1461432, DIVERSITY_GINI: 0.1681149, SHANNON_ENTROPY: 12.0309384, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 961, 'shrink': 282, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 16.211938651514572} - results: ROC_AUC: 0.1335996, PRECISION: 0.0273063, PRECISION_RECALL_MIN_DEN: 0.1038935, RECALL: 0.1014548, MAP: 0.0448789, MRR: 0.0936778, NDCG: 0.0696586, F1: 0.0430300, HIT_RATE: 0.2730628, ARHR: 0.1045169, NOVELTY: 0.0048787, AVERAGE_POPULARITY: 0.0607581, DIVERSITY_MEAN_INTER_LIST: 0.9932472, DIVERSITY_HERFINDAHL: 0.9993059, COVERAGE_ITEM: 0.4550760, COVERAGE_ITEM_CORRECT: 0.0371511, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1441802, DIVERSITY_GINI: 0.1757054, SHANNON_ENTROPY: 12.1655048, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 861, 'shrink': 609, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 12.501325145325588} - results: ROC_AUC: 0.1343778, PRECISION: 0.0276963, PRECISION_RECALL_MIN_DEN: 0.1049549, RECALL: 0.1024531, MAP: 0.0453284, MRR: 0.0950309, NDCG: 0.0704045, F1: 0.0436042, HIT_RATE: 0.2769626, ARHR: 0.1060737, NOVELTY: 0.0048528, AVERAGE_POPULARITY: 0.0676296, DIVERSITY_MEAN_INTER_LIST: 0.9918911, DIVERSITY_HERFINDAHL: 0.9991703, COVERAGE_ITEM: 0.4485929, COVERAGE_ITEM_CORRECT: 0.0364273, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1458664, DIVERSITY_GINI: 0.1682529, SHANNON_ENTROPY: 12.0397791, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 928, 'shrink': 544, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 9.352373571648068} - results: ROC_AUC: 0.1339408, PRECISION: 0.0275412, PRECISION_RECALL_MIN_DEN: 0.1044280, RECALL: 0.1019367, MAP: 0.0451437, MRR: 0.0945220, NDCG: 0.0700762, F1: 0.0433650, HIT_RATE: 0.2754121, ARHR: 0.1055287, NOVELTY: 0.0048558, AVERAGE_POPULARITY: 0.0667553, DIVERSITY_MEAN_INTER_LIST: 0.9920380, DIVERSITY_HERFINDAHL: 0.9991850, COVERAGE_ITEM: 0.4481848, COVERAGE_ITEM_CORRECT: 0.0362887, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450610, DIVERSITY_GINI: 0.1680526, SHANNON_ENTROPY: 12.0456215, 
