
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 156, 'shrink': 139, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1641416, PRECISION: 0.0341265, PRECISION_RECALL_MIN_DEN: 0.1226839, RECALL: 0.1190545, MAP: 0.0582781, MRR: 0.1223333, NDCG: 0.0868548, F1: 0.0530458, HIT_RATE: 0.3412649, ARHR: 0.1400970, NOVELTY: 0.0047053, AVERAGE_POPULARITY: 0.1268542, DIVERSITY_MEAN_INTER_LIST: 0.9767496, DIVERSITY_HERFINDAHL: 0.9976577, COVERAGE_ITEM: 0.4084697, COVERAGE_ITEM_CORRECT: 0.0383292, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1820058, DIVERSITY_GINI: 0.1170822, SHANNON_ENTROPY: 11.0213417, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 455, 'shrink': 393, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1622756, PRECISION: 0.0335185, PRECISION_RECALL_MIN_DEN: 0.1215828, RECALL: 0.1181071, MAP: 0.0571267, MRR: 0.1201277, NDCG: 0.0855458, F1: 0.0522161, HIT_RATE: 0.3351852, ARHR: 0.1371283, NOVELTY: 0.0046489, AVERAGE_POPULARITY: 0.1387261, DIVERSITY_MEAN_INTER_LIST: 0.9713401, DIVERSITY_HERFINDAHL: 0.9971168, COVERAGE_ITEM: 0.3764851, COVERAGE_ITEM_CORRECT: 0.0361193, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1805965, DIVERSITY_GINI: 0.1001519, SHANNON_ENTROPY: 10.7296581, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 702, 'shrink': 138, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1659972, PRECISION: 0.0344226, PRECISION_RECALL_MIN_DEN: 0.1229443, RECALL: 0.1192448, MAP: 0.0586864, MRR: 0.1242172, NDCG: 0.0874462, F1: 0.0534204, HIT_RATE: 0.3442263, ARHR: 0.1422019, NOVELTY: 0.0047255, AVERAGE_POPULARITY: 0.1181315, DIVERSITY_MEAN_INTER_LIST: 0.9794619, DIVERSITY_HERFINDAHL: 0.9979289, COVERAGE_ITEM: 0.3994533, COVERAGE_ITEM_CORRECT: 0.0388065, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1837171, DIVERSITY_GINI: 0.1130777, SHANNON_ENTROPY: 11.0576213, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 410, 'shrink': 134, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1792361, PRECISION: 0.0378624, PRECISION_RECALL_MIN_DEN: 0.1393929, RECALL: 0.1356083, MAP: 0.0640970, MRR: 0.1321670, NDCG: 0.0964390, F1: 0.0591946, HIT_RATE: 0.3786244, ARHR: 0.1519436, NOVELTY: 0.0046655, AVERAGE_POPULARITY: 0.1350645, DIVERSITY_MEAN_INTER_LIST: 0.9735836, DIVERSITY_HERFINDAHL: 0.9973412, COVERAGE_ITEM: 0.4049355, COVERAGE_ITEM_CORRECT: 0.0436574, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013590, DIVERSITY_GINI: 0.1137054, SHANNON_ENTROPY: 10.9014416, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 507, 'shrink': 786, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1631357, PRECISION: 0.0338011, PRECISION_RECALL_MIN_DEN: 0.1217659, RECALL: 0.1181674, MAP: 0.0574923, MRR: 0.1216113, NDCG: 0.0859800, F1: 0.0525646, HIT_RATE: 0.3380106, ARHR: 0.1389777, NOVELTY: 0.0046762, AVERAGE_POPULARITY: 0.1318316, DIVERSITY_MEAN_INTER_LIST: 0.9743564, DIVERSITY_HERFINDAHL: 0.9974184, COVERAGE_ITEM: 0.3861174, COVERAGE_ITEM_CORRECT: 0.0368816, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1813515, DIVERSITY_GINI: 0.1054680, SHANNON_ENTROPY: 10.8533782, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 271, 'shrink': 715, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1643124, PRECISION: 0.0342394, PRECISION_RECALL_MIN_DEN: 0.1230085, RECALL: 0.1193372, MAP: 0.0581551, MRR: 0.1225328, NDCG: 0.0868396, F1: 0.0532104, HIT_RATE: 0.3423944, ARHR: 0.1402407, NOVELTY: 0.0047031, AVERAGE_POPULARITY: 0.1264139, DIVERSITY_MEAN_INTER_LIST: 0.9767793, DIVERSITY_HERFINDAHL: 0.9976607, COVERAGE_ITEM: 0.4013397, COVERAGE_ITEM_CORRECT: 0.0381367, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1829621, DIVERSITY_GINI: 0.1138370, SHANNON_ENTROPY: 10.9943434, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 892, 'shrink': 615, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1623695, PRECISION: 0.0356075, PRECISION_RECALL_MIN_DEN: 0.1243435, RECALL: 0.1204450, MAP: 0.0576703, MRR: 0.1200694, NDCG: 0.0866912, F1: 0.0549646, HIT_RATE: 0.3560753, ARHR: 0.1391264, NOVELTY: 0.0052949, AVERAGE_POPULARITY: 0.0291846, DIVERSITY_MEAN_INTER_LIST: 0.9981775, DIVERSITY_HERFINDAHL: 0.9998001, COVERAGE_ITEM: 0.6341944, COVERAGE_ITEM_CORRECT: 0.0617440, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1856046, DIVERSITY_GINI: 0.3121741, SHANNON_ENTROPY: 13.2344179, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 496, 'shrink': 826, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1605164, PRECISION: 0.0353008, PRECISION_RECALL_MIN_DEN: 0.1231738, RECALL: 0.1193363, MAP: 0.0570981, MRR: 0.1187048, NDCG: 0.0858710, F1: 0.0544837, HIT_RATE: 0.3530075, ARHR: 0.1376051, NOVELTY: 0.0053124, AVERAGE_POPULARITY: 0.0295468, DIVERSITY_MEAN_INTER_LIST: 0.9982095, DIVERSITY_HERFINDAHL: 0.9998033, COVERAGE_ITEM: 0.6431415, COVERAGE_ITEM_CORRECT: 0.0605890, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1841450, DIVERSITY_GINI: 0.3206920, SHANNON_ENTROPY: 13.2725606, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1618345, PRECISION: 0.0332896, PRECISION_RECALL_MIN_DEN: 0.1209342, RECALL: 0.1174694, MAP: 0.0568504, MRR: 0.1199093, NDCG: 0.0851164, F1: 0.0518760, HIT_RATE: 0.3328958, ARHR: 0.1366594, NOVELTY: 0.0046414, AVERAGE_POPULARITY: 0.1393582, DIVERSITY_MEAN_INTER_LIST: 0.9707976, DIVERSITY_HERFINDAHL: 0.9970626, COVERAGE_ITEM: 0.3702945, COVERAGE_ITEM_CORRECT: 0.0355573, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1798414, DIVERSITY_GINI: 0.0965816, SHANNON_ENTROPY: 10.6787125, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 9, 'shrink': 949, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1729155, PRECISION: 0.0358921, PRECISION_RECALL_MIN_DEN: 0.1277016, RECALL: 0.1238318, MAP: 0.0604465, MRR: 0.1268949, NDCG: 0.0903623, F1: 0.0556519, HIT_RATE: 0.3589213, ARHR: 0.1454229, NOVELTY: 0.0050361, AVERAGE_POPULARITY: 0.0633819, DIVERSITY_MEAN_INTER_LIST: 0.9937520, DIVERSITY_HERFINDAHL: 0.9993576, COVERAGE_ITEM: 0.5723503, COVERAGE_ITEM_CORRECT: 0.0521424, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1908141, DIVERSITY_GINI: 0.2318299, SHANNON_ENTROPY: 12.4754023, 
