
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 798, 'alpha': 0.508280675318508, 'beta': 0.2992337223923132, 'normalize_similarity': True} - results: ROC_AUC: 0.1253427, PRECISION: 0.0289710, PRECISION_RECALL_MIN_DEN: 0.0945961, RECALL: 0.0904705, MAP: 0.0417463, MRR: 0.0922119, NDCG: 0.0641186, F1: 0.0438874, HIT_RATE: 0.2897102, ARHR: 0.1086560, NOVELTY: 0.0055258, AVERAGE_POPULARITY: 0.0353233, DIVERSITY_MEAN_INTER_LIST: 0.9977129, DIVERSITY_HERFINDAHL: 0.9997537, COVERAGE_ITEM: 0.6635688, COVERAGE_ITEM_CORRECT: 0.0457671, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1487102, DIVERSITY_GINI: 0.3708600, SHANNON_ENTROPY: 13.3995894, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 538, 'alpha': 1.9029223001885613, 'beta': 1.5984663624529758, 'normalize_similarity': True} - results: ROC_AUC: 0.0485672, PRECISION: 0.0099374, PRECISION_RECALL_MIN_DEN: 0.0394337, RECALL: 0.0386323, MAP: 0.0165128, MRR: 0.0334192, NDCG: 0.0257017, F1: 0.0158065, HIT_RATE: 0.0993738, ARHR: 0.0368736, NOVELTY: 0.0060159, AVERAGE_POPULARITY: 0.0072882, DIVERSITY_MEAN_INTER_LIST: 0.9979126, DIVERSITY_HERFINDAHL: 0.9997736, COVERAGE_ITEM: 0.5286853, COVERAGE_ITEM_CORRECT: 0.0207815, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0581855, DIVERSITY_GINI: 0.2668427, SHANNON_ENTROPY: 13.0585238, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 451, 'alpha': 1.5768155120758356, 'beta': 1.738998393804388, 'normalize_similarity': False} - results: ROC_AUC: 0.0487632, PRECISION: 0.0100753, PRECISION_RECALL_MIN_DEN: 0.0395537, RECALL: 0.0388566, MAP: 0.0165442, MRR: 0.0333184, NDCG: 0.0259069, F1: 0.0160009, HIT_RATE: 0.1007532, ARHR: 0.0368807, NOVELTY: 0.0060642, AVERAGE_POPULARITY: 0.0064893, DIVERSITY_MEAN_INTER_LIST: 0.9983395, DIVERSITY_HERFINDAHL: 0.9998163, COVERAGE_ITEM: 0.5607392, COVERAGE_ITEM_CORRECT: 0.0211588, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0588398, DIVERSITY_GINI: 0.3135095, SHANNON_ENTROPY: 13.3024858, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 38, 'alpha': 0.6880004702478334, 'beta': 0.44981535981137866, 'normalize_similarity': False} - results: ROC_AUC: 0.0884400, PRECISION: 0.0184442, PRECISION_RECALL_MIN_DEN: 0.0676902, RECALL: 0.0658260, MAP: 0.0298101, MRR: 0.0620463, NDCG: 0.0457671, F1: 0.0288141, HIT_RATE: 0.1844424, ARHR: 0.0703391, NOVELTY: 0.0058374, AVERAGE_POPULARITY: 0.0134209, DIVERSITY_MEAN_INTER_LIST: 0.9985264, DIVERSITY_HERFINDAHL: 0.9998350, COVERAGE_ITEM: 0.6404466, COVERAGE_ITEM_CORRECT: 0.0361732, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1028816, DIVERSITY_GINI: 0.3924412, SHANNON_ENTROPY: 13.5852573, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 188, 'alpha': 1.0891662489220437, 'beta': 1.3582813828975289, 'normalize_similarity': True} - results: ROC_AUC: 0.0537201, PRECISION: 0.0114005, PRECISION_RECALL_MIN_DEN: 0.0416363, RECALL: 0.0404107, MAP: 0.0180045, MRR: 0.0376707, NDCG: 0.0277668, F1: 0.0177826, HIT_RATE: 0.1140048, ARHR: 0.0427431, NOVELTY: 0.0060893, AVERAGE_POPULARITY: 0.0061558, DIVERSITY_MEAN_INTER_LIST: 0.9980461, DIVERSITY_HERFINDAHL: 0.9997870, COVERAGE_ITEM: 0.5344139, COVERAGE_ITEM_CORRECT: 0.0238768, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0635208, DIVERSITY_GINI: 0.2778736, SHANNON_ENTROPY: 13.1235157, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 514, 'alpha': 0.5334478177102958, 'beta': 1.8251988690468441, 'normalize_similarity': True} - results: ROC_AUC: 0.0511843, PRECISION: 0.0106197, PRECISION_RECALL_MIN_DEN: 0.0365427, RECALL: 0.0351894, MAP: 0.0163095, MRR: 0.0366235, NDCG: 0.0251102, F1: 0.0163127, HIT_RATE: 0.1061969, ARHR: 0.0416582, NOVELTY: 0.0062039, AVERAGE_POPULARITY: 0.0048321, DIVERSITY_MEAN_INTER_LIST: 0.9978503, DIVERSITY_HERFINDAHL: 0.9997674, COVERAGE_ITEM: 0.4793224, COVERAGE_ITEM_CORRECT: 0.0224755, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0586133, DIVERSITY_GINI: 0.2340035, SHANNON_ENTROPY: 12.9057712, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 205, 'alpha': 1.942008165714937, 'beta': 1.6979494544875393, 'normalize_similarity': False} - results: ROC_AUC: 0.0486800, PRECISION: 0.0099162, PRECISION_RECALL_MIN_DEN: 0.0408084, RECALL: 0.0402228, MAP: 0.0165897, MRR: 0.0330085, NDCG: 0.0261817, F1: 0.0159093, HIT_RATE: 0.0991619, ARHR: 0.0361824, NOVELTY: 0.0060010, AVERAGE_POPULARITY: 0.0075393, DIVERSITY_MEAN_INTER_LIST: 0.9984433, DIVERSITY_HERFINDAHL: 0.9998267, COVERAGE_ITEM: 0.5881270, COVERAGE_ITEM_CORRECT: 0.0208046, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0591670, DIVERSITY_GINI: 0.3403289, SHANNON_ENTROPY: 13.4110589, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 958, 'alpha': 0.32577207015279536, 'beta': 0.2550985603758252, 'normalize_similarity': False} - results: ROC_AUC: 0.1689988, PRECISION: 0.0361592, PRECISION_RECALL_MIN_DEN: 0.1218481, RECALL: 0.1176638, MAP: 0.0579450, MRR: 0.1262627, NDCG: 0.0871417, F1: 0.0553170, HIT_RATE: 0.3615920, ARHR: 0.1467466, NOVELTY: 0.0051011, AVERAGE_POPULARITY: 0.0817409, DIVERSITY_MEAN_INTER_LIST: 0.9904557, DIVERSITY_HERFINDAHL: 0.9990281, COVERAGE_ITEM: 0.5631030, COVERAGE_ITEM_CORRECT: 0.0446044, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1869888, DIVERSITY_GINI: 0.2218798, SHANNON_ENTROPY: 12.2007110, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 315, 'alpha': 1.6021365515137052, 'beta': 0.7984137793472685, 'normalize_similarity': False} - results: ROC_AUC: 0.0565535, PRECISION: 0.0119941, PRECISION_RECALL_MIN_DEN: 0.0493557, RECALL: 0.0486173, MAP: 0.0197797, MRR: 0.0382495, NDCG: 0.0312431, F1: 0.0192404, HIT_RATE: 0.1199407, ARHR: 0.0423155, NOVELTY: 0.0058433, AVERAGE_POPULARITY: 0.0113848, DIVERSITY_MEAN_INTER_LIST: 0.9985738, DIVERSITY_HERFINDAHL: 0.9998397, COVERAGE_ITEM: 0.6233763, COVERAGE_ITEM_CORRECT: 0.0249471, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0702152, DIVERSITY_GINI: 0.3820290, SHANNON_ENTROPY: 13.5587542, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 654, 'alpha': 0.9137214790278132, 'beta': 0.4382805963405806, 'normalize_similarity': False} - results: ROC_AUC: 0.0933017, PRECISION: 0.0215679, PRECISION_RECALL_MIN_DEN: 0.0758602, RECALL: 0.0731759, MAP: 0.0312622, MRR: 0.0649376, NDCG: 0.0490721, F1: 0.0333158, HIT_RATE: 0.2156789, ARHR: 0.0752345, NOVELTY: 0.0057301, AVERAGE_POPULARITY: 0.0186206, DIVERSITY_MEAN_INTER_LIST: 0.9985250, DIVERSITY_HERFINDAHL: 0.9998349, COVERAGE_ITEM: 0.6436728, COVERAGE_ITEM_CORRECT: 0.0398614, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1158928, DIVERSITY_GINI: 0.3932745, SHANNON_ENTROPY: 13.5828176, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 551, 'alpha': 1.6509364644290234, 'beta': 1.4092249808985304, 'normalize_similarity': True} - results: ROC_AUC: 0.0503423, PRECISION: 0.0104252, PRECISION_RECALL_MIN_DEN: 0.0411309, RECALL: 0.0402896, MAP: 0.0171328, MRR: 0.0345329, NDCG: 0.0267179, F1: 0.0165629, HIT_RATE: 0.1042515, ARHR: 0.0383918, NOVELTY: 0.0060127, AVERAGE_POPULARITY: 0.0073431, DIVERSITY_MEAN_INTER_LIST: 0.9980342, DIVERSITY_HERFINDAHL: 0.9997858, COVERAGE_ITEM: 0.5392570, COVERAGE_ITEM_CORRECT: 0.0217979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0603247, DIVERSITY_GINI: 0.2791924, SHANNON_ENTROPY: 13.1266968, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 851, 'alpha': 1.313247653097055, 'beta': 1.1175588982879197, 'normalize_similarity': True} - results: ROC_AUC: 0.0548672, PRECISION: 0.0117257, PRECISION_RECALL_MIN_DEN: 0.0451218, RECALL: 0.0440871, MAP: 0.0187441, MRR: 0.0379063, NDCG: 0.0292853, F1: 0.0185216, HIT_RATE: 0.1172568, ARHR: 0.0425327, NOVELTY: 0.0059930, AVERAGE_POPULARITY: 0.0076972, DIVERSITY_MEAN_INTER_LIST: 0.9982609, DIVERSITY_HERFINDAHL: 0.9998085, COVERAGE_ITEM: 0.5674225, COVERAGE_ITEM_CORRECT: 0.0244697, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0669183, DIVERSITY_GINI: 0.3105287, SHANNON_ENTROPY: 13.2802190, 
