
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 813, 'shrink': 574, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0752275, PRECISION: 0.0155198, PRECISION_RECALL_MIN_DEN: 0.0532663, RECALL: 0.0514626, MAP: 0.0232697, MRR: 0.0524191, NDCG: 0.0365341, F1: 0.0238452, HIT_RATE: 0.1551975, ARHR: 0.0582358, NOVELTY: 0.0052976, AVERAGE_POPULARITY: 0.0147622, DIVERSITY_MEAN_INTER_LIST: 0.9970068, DIVERSITY_HERFINDAHL: 0.9996831, COVERAGE_ITEM: 0.5010125, COVERAGE_ITEM_CORRECT: 0.0301290, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0890399, DIVERSITY_GINI: 0.2256363, SHANNON_ENTROPY: 12.7451512, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 13, 'shrink': 255, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0644591, PRECISION: 0.0123861, PRECISION_RECALL_MIN_DEN: 0.0418553, RECALL: 0.0403138, MAP: 0.0202548, MRR: 0.0460931, NDCG: 0.0305292, F1: 0.0189487, HIT_RATE: 0.1238610, ARHR: 0.0511186, NOVELTY: 0.0052985, AVERAGE_POPULARITY: 0.0146614, DIVERSITY_MEAN_INTER_LIST: 0.9957941, DIVERSITY_HERFINDAHL: 0.9995618, COVERAGE_ITEM: 0.5717113, COVERAGE_ITEM_CORRECT: 0.0247238, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0714232, DIVERSITY_GINI: 0.2719688, SHANNON_ENTROPY: 12.9328303, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 153, 'shrink': 20, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0774717, PRECISION: 0.0158104, PRECISION_RECALL_MIN_DEN: 0.0539727, RECALL: 0.0521661, MAP: 0.0242842, MRR: 0.0546209, NDCG: 0.0377075, F1: 0.0242643, HIT_RATE: 0.1581044, ARHR: 0.0610413, NOVELTY: 0.0052927, AVERAGE_POPULARITY: 0.0150614, DIVERSITY_MEAN_INTER_LIST: 0.9975194, DIVERSITY_HERFINDAHL: 0.9997343, COVERAGE_ITEM: 0.5511838, COVERAGE_ITEM_CORRECT: 0.0310760, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0895936, DIVERSITY_GINI: 0.2677864, SHANNON_ENTROPY: 13.0008141, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 225, 'shrink': 118, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0851058, PRECISION: 0.0181707, PRECISION_RECALL_MIN_DEN: 0.0600492, RECALL: 0.0577355, MAP: 0.0267311, MRR: 0.0600162, NDCG: 0.0414491, F1: 0.0276406, HIT_RATE: 0.1817073, ARHR: 0.0682409, NOVELTY: 0.0052854, AVERAGE_POPULARITY: 0.0160613, DIVERSITY_MEAN_INTER_LIST: 0.9981824, DIVERSITY_HERFINDAHL: 0.9998006, COVERAGE_ITEM: 0.6360885, COVERAGE_ITEM_CORRECT: 0.0356574, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0996351, DIVERSITY_GINI: 0.3261870, SHANNON_ENTROPY: 13.2942132, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 855, 'shrink': 487, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0872810, PRECISION: 0.0188908, PRECISION_RECALL_MIN_DEN: 0.0623510, RECALL: 0.0599031, MAP: 0.0274308, MRR: 0.0617134, NDCG: 0.0427169, F1: 0.0287223, HIT_RATE: 0.1889085, ARHR: 0.0702794, NOVELTY: 0.0052846, AVERAGE_POPULARITY: 0.0165853, DIVERSITY_MEAN_INTER_LIST: 0.9982255, DIVERSITY_HERFINDAHL: 0.9998049, COVERAGE_ITEM: 0.6469451, COVERAGE_ITEM_CORRECT: 0.0370125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1033849, DIVERSITY_GINI: 0.3311023, SHANNON_ENTROPY: 13.3132127, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 560, 'shrink': 274, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0867896, PRECISION: 0.0188454, PRECISION_RECALL_MIN_DEN: 0.0615589, RECALL: 0.0591002, MAP: 0.0272178, MRR: 0.0613357, NDCG: 0.0423435, F1: 0.0285770, HIT_RATE: 0.1884543, ARHR: 0.0699623, NOVELTY: 0.0052860, AVERAGE_POPULARITY: 0.0161489, DIVERSITY_MEAN_INTER_LIST: 0.9982709, DIVERSITY_HERFINDAHL: 0.9998095, COVERAGE_ITEM: 0.6399846, COVERAGE_ITEM_CORRECT: 0.0369817, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1028061, DIVERSITY_GINI: 0.3290455, SHANNON_ENTROPY: 13.3135012, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 409, 'shrink': 230, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0762437, PRECISION: 0.0157312, PRECISION_RECALL_MIN_DEN: 0.0539977, RECALL: 0.0521566, MAP: 0.0235828, MRR: 0.0533775, NDCG: 0.0370333, F1: 0.0241688, HIT_RATE: 0.1573121, ARHR: 0.0594620, NOVELTY: 0.0052950, AVERAGE_POPULARITY: 0.0148087, DIVERSITY_MEAN_INTER_LIST: 0.9973354, DIVERSITY_HERFINDAHL: 0.9997159, COVERAGE_ITEM: 0.5134629, COVERAGE_ITEM_CORRECT: 0.0306372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0898452, DIVERSITY_GINI: 0.2370461, SHANNON_ENTROPY: 12.8323885, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 42, 'shrink': 679, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0902862, PRECISION: 0.0190184, PRECISION_RECALL_MIN_DEN: 0.0652832, RECALL: 0.0628905, MAP: 0.0294995, MRR: 0.0634993, NDCG: 0.0450246, F1: 0.0292033, HIT_RATE: 0.1901838, ARHR: 0.0723315, NOVELTY: 0.0052863, AVERAGE_POPULARITY: 0.0158826, DIVERSITY_MEAN_INTER_LIST: 0.9981430, DIVERSITY_HERFINDAHL: 0.9997967, COVERAGE_ITEM: 0.6304909, COVERAGE_ITEM_CORRECT: 0.0372358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1046684, DIVERSITY_GINI: 0.3267771, SHANNON_ENTROPY: 13.2907800, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 615, 'shrink': 718, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0760000, PRECISION: 0.0156362, PRECISION_RECALL_MIN_DEN: 0.0536836, RECALL: 0.0518757, MAP: 0.0234705, MRR: 0.0530151, NDCG: 0.0368334, F1: 0.0240264, HIT_RATE: 0.1563616, ARHR: 0.0589220, NOVELTY: 0.0052961, AVERAGE_POPULARITY: 0.0147881, DIVERSITY_MEAN_INTER_LIST: 0.9971627, DIVERSITY_HERFINDAHL: 0.9996987, COVERAGE_ITEM: 0.5054013, COVERAGE_ITEM_CORRECT: 0.0303908, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0896691, DIVERSITY_GINI: 0.2299154, SHANNON_ENTROPY: 12.7805006, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 517, 'shrink': 670, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0866660, PRECISION: 0.0187818, PRECISION_RECALL_MIN_DEN: 0.0614730, RECALL: 0.0590332, MAP: 0.0271870, MRR: 0.0612374, NDCG: 0.0422872, F1: 0.0284962, HIT_RATE: 0.1878183, ARHR: 0.0698198, NOVELTY: 0.0052861, AVERAGE_POPULARITY: 0.0161491, DIVERSITY_MEAN_INTER_LIST: 0.9982668, DIVERSITY_HERFINDAHL: 0.9998090, COVERAGE_ITEM: 0.6396689, COVERAGE_ITEM_CORRECT: 0.0368277, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1026299, DIVERSITY_GINI: 0.3287016, SHANNON_ENTROPY: 13.3118910, 
